area,TotalPop2001,AverageRent2001,AverageValueofDwelling2001,TotalPop2006,AverageRent2006,AverageValueofDwelling2006,AverageValueofDwelling2016,AverageRent2016,TotalPop2016
Arbutus-Ridge,14515,1124,525087,16145,1198,903780,2500033,1688,15295
Downtown,27990,749,260460,43415,992,563128,941493,1589,62030
Dunbar-Southlands,21310,1351,558356,21480,1365,985837,3026785,1824,21425
Fairview,28405,887,236518,29295,987,430372,761230,1341,33620
Grandview-Woodland,29085,640,224675,28205,715,416736,899002,1041,29175
Hastings-Sunrise,33045,762,305075,33130,823,548064,1266054,1103,34575
Kensington-Cedar Cottage,44560,751,294127,44665,790,538034,1214877,1163,49325
Kerrisdale,14035,1077,659204,14615,1249,1115764,2879632,1504,13975
Killarney,25785,765,291332,27180,844,502674,1097209,1094,29325
Kitsilano,39620,905,367510,40595,1041,642914,1327707,1472,43045
Marpole,22415,752,402146,23785,822,654299,1695892,1113,24460
Mount Pleasant,24535,692,198301,23615,772,404175,803459,1291,32955
Oakridge,11795,1064,534190,12725,1253,883621,2414767,1494,13030
Renfrew-Collingwood,44950,768,286688,48885,811,494185,1099509,1107,51530
Riley Park,21990,828,337817,21815,885,635018,1695195,1361,22555
Shaughnessy,9020,1259,876516,8900,1371,1422043,3247312,1786,8430
South Cambie,6995,1039,424386,7070,1077,737285,1907007,1500,7970
Strathcona,11575,421,217727,11920,500,459923,845567,699,12585
Sunset,33425,750,317281,35230,784,581122,1456880,1112,36500
Victoria-Fraserview,27150,779,347317,29200,861,607081,1441615,1064,31065
West End,42120,809,211959,44560,908,406894,670773,1308,47200
West Point Grey,12680,1075,645496,12990,1114,1078609,2830724,1524,13065
Vancouver CSD (City of Vancouver),545675,796,358374,578040,898,628682,1414191,1296,631485
Vancouver CMA  (Metro Vancouver),1986965,814,294847,2116580,893,520937,1005920,1242,2463430
